//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-7-2025
//--  Time: 18:47
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:8.7, 18.7
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
470	13.29	133 	2.295
471	13.30	133 	2.300
472	13.31	133 	2.305
473	13.32	133 	2.310
474	13.33	133 	2.314
475	13.34	133 	2.319
476	13.35	133 	2.324
477	13.36	134 	2.329
478	13.37	134 	2.334
479	13.38	134 	2.339
480	13.39	134 	2.344
481	13.40	134 	2.349
482	13.41	134 	2.354
483	13.42	134 	2.358
484	13.43	134 	2.363
485	13.44	134 	2.368
486	13.45	134 	2.373
487	13.46	135 	2.378
488	13.47	135 	2.383
489	13.48	135 	2.388
490	13.49	135 	2.393
491	13.49	135 	2.397
492	13.50	135 	2.402
493	13.51	135 	2.407
494	13.52	135 	2.412
495	13.53	135 	2.417
496	13.54	135 	2.422
497	13.55	136 	2.427
498	13.56	136 	2.432
499	13.57	136 	2.437
500	13.58	136 	2.441
501	13.59	136 	2.446
502	13.60	136 	2.451
503	13.61	136 	2.456
504	13.62	136 	2.461
505	13.63	136 	2.466
506	13.64	136 	2.471
507	13.65	137 	2.476
508	13.66	137 	2.480
509	13.67	137 	2.485
510	13.68	137 	2.490
511	13.69	137 	2.495
512	13.70	137 	2.500
513	13.71	137 	2.505
514	13.72	137 	2.510
515	13.73	137 	2.515
516	13.74	137 	2.520
517	13.75	137 	2.524
518	13.76	138 	2.529
519	13.77	138 	2.534
520	13.78	138 	2.539
521	13.79	138 	2.544
522	13.80	138 	2.549
523	13.81	138 	2.554
524	13.82	138 	2.559
525	13.83	138 	2.563
526	13.84	138 	2.568
527	13.85	138 	2.573
528	13.86	139 	2.578
529	13.87	139 	2.583
530	13.88	139 	2.588
531	13.89	139 	2.593
532	13.90	139 	2.598
533	13.91	139 	2.603
534	13.91	139 	2.607
535	13.92	139 	2.612
536	13.93	139 	2.617
537	13.94	139 	2.622
538	13.95	140 	2.627
539	13.96	140 	2.632
540	13.97	140 	2.637
541	13.98	140 	2.642
542	13.99	140 	2.646
543	14.00	140 	2.651
544	14.01	140 	2.656
545	14.02	140 	2.661
546	14.03	140 	2.666
547	14.04	140 	2.671
548	14.05	141 	2.676
549	14.06	141 	2.681
550	14.07	141 	2.686
551	14.08	141 	2.690
552	14.09	141 	2.695
553	14.10	141 	2.700
554	14.11	141 	2.705
555	14.12	141 	2.710
556	14.13	141 	2.715
557	14.14	141 	2.720
558	14.15	141 	2.725
559	14.16	142 	2.729
560	14.17	142 	2.734
561	14.18	142 	2.739
562	14.19	142 	2.744
563	14.20	142 	2.749
564	14.21	142 	2.754
565	14.22	142 	2.759
566	14.23	142 	2.764
567	14.24	142 	2.769
568	14.25	142 	2.773
569	14.26	143 	2.778
570	14.27	143 	2.783
571	14.28	143 	2.788
572	14.29	143 	2.793
573	14.30	143 	2.798
574	14.31	143 	2.803
575	14.32	143 	2.808
576	14.33	143 	2.813
577	14.33	143 	2.817
578	14.34	143 	2.822
579	14.35	144 	2.827
580	14.36	144 	2.832
581	14.37	144 	2.837
582	14.38	144 	2.842
583	14.39	144 	2.847
584	14.40	144 	2.852
585	14.41	144 	2.856
586	14.42	144 	2.861
587	14.43	144 	2.866
588	14.44	144 	2.871
589	14.45	145 	2.876
590	14.46	145 	2.881
591	14.47	145 	2.886
592	14.48	145 	2.891
593	14.49	145 	2.896
594	14.50	145 	2.900
595	14.51	145 	2.905
596	14.52	145 	2.910
597	14.53	145 	2.915
598	14.54	145 	2.920
599	14.55	145 	2.925
600	14.56	146 	2.930
601	14.57	146 	2.935
